Ad Media,New,Reapply,Attending Outside School,Attempting Contact,Interview,Recruiting,Pending Investigations,Online Course,Awaiting Permit,Hireright Requested,Rehire Submitted,Ready For Processing,Processing,Processing Complete,Attending School,Attending Academy,Left Sch/aca,Left Academy,Dl170 Testing,Graduated Sch/aca,Failed Sch/aca,Compliance,Driver Reactivation,No Show,Left Orientation,Hold,Ready For Audit,Audit,Audit Deficiencies,Ok To Code,Paf Entered,Hired,Not Qualified,Not Interested,No Response,Duplicate App,Xfer Allowed,Unqualified Da,Do Not Contact,Security Closed,Upload,Total
LACED_DR_Exp_RandallReilly_PM_Display_SwiftLeadForm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,2,0,0,9
LACED_DR_Exp_RandallReilly_PM_Social_CareerHorizon_SwiftLeadForm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
LACED_DR_Exp_SimplyHired_CareerHorizon_Intelliapp,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4
LACED_DR_Exp_SimplyHired_CareerHorizon_SwiftLeadForm,2,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,8,0,0,0,0,0,0,25
LACED_DR_Exp_swifttrans.com_LeadForm,3,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,13
LACED_DR_Exp_TopUSAJobs_CareerHorizon_Intelliapp,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,12
LACED_DR_Exp_TopUSAJobs_CareerHorizon_SwiftLeadForm,2,0,0,3,14,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,9,8,30,1,0,0,1,0,0,77
LACED_DR_Exp_TruckDrivingJobs_CareerHorizon_Intelliapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
LACED_DR_Exp_TruckDrivingJobs_CareerHorizon_SwiftLeadForm,11,19,0,77,82,69,16,0,1,0,9,5,0,0,0,1,4,1,0,0,2,0,0,6,0,0,0,0,0,0,0,17,97,320,495,3,0,0,10,0,0,1245
LACED_DR_Exp_ZipRecruiter_CareerHorizon_Intelliapp,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,3,3,0,0,0,0,0,0,19
LACED_DR_Exp_ZipRecruiter_CareerHorizon_SwiftLeadForm,2,1,0,7,15,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,16,18,30,1,0,0,0,0,0,103
LACED_DR_General_Craigslist_Jan2016_Intelliapp,0,0,0,1,3,1,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,20,0,0,0,0,0,0,58
LACED_DR_General_Craigslist_Jan2016_SwiftLeadForm,0,1,1,10,24,9,1,10,9,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,39,101,0,0,0,0,0,0,243
LACED_DR_General_Indeed_Jan2016_SwiftLeadForm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
LACED_DR_General_Jobs2Careers_Jan2016_SwiftLeadForm,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
