"Ad Media",New,Reapply,"Attending Outside School","Attempting Contact",Interview,Recruiting,"Pending Investigations","Online Course","Awaiting Permit","Hireright Requested","Rehire Submitted",Scheduled,"Ready For Processing",Processing,"Processing Complete","Attending School","Attending Academy","Left Sch/aca","Left Academy","Dl170 Testing","Graduated Sch/aca","Failed Sch/aca",Compliance,"Driver Reactivation","No Show","Left Orientation",Hold,"Ready For Audit",Audit,"Audit Deficiencies","Ok To Code","Paf Entered",Hired,"Not Qualified","Not Interested","No Response","Duplicate App","Xfer Allowed","Unqualified Da","Do Not Contact","Security Closed",Upload,Total,
LACED_DR_Exp_RandallReilly_PM_Display_Intelliapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
LACED_DR_Exp_RandallReilly_PM_Display_SwiftLeadForm,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,5,0,0,0,0,0,0,15,
LACED_DR_Exp_TopUSAJobs_CareerHorizon_Intelliapp,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,0,0,0,0,0,0,19,
LACED_DR_Exp_TopUSAJobs_CareerHorizon_SwiftLeadForm,12,1,1,9,20,7,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,51,1,0,0,1,0,0,144,
LACED_DR_Exp_TruckDrivingJobs_CareerHorizon_SwiftLeadForm,2,4,1,24,33,22,2,1,0,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,1,46,142,189,2,0,0,2,0,0,486,
LACED_DR_Exp_TruckingJobsHub_CareerHorizon_SwiftLeadForm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,
LACED_DR_Exp_ZipRecruiter_CareerHorizon_Intelliapp,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,3,0,0,0,0,0,0,13,
LACED_DR_Exp_ZipRecruiter_CareerHorizon_SwiftLeadForm,8,1,0,5,12,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,14,20,42,2,0,5,2,0,0,123,
LACED_DR_General_ZipRecruiter_Jan2016_SwiftLeadForm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,0,7,
LACED_DR_Generic_ReferrerCode_SwiftLeadForm,26,12,1,22,50,16,4,9,6,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,52,44,141,5,0,0,1,0,0,395,
